grupo,nome,dominio,url_base,url_patterns,status
,Zampieri Leiloeiro,https://www.zampierileiloeiro.com.br,,,
,Zampieri Leilões,https://www.zampierileiloes.com.br,,,
,Espresso Leilões,https://www.espressoleiloes.com.br,,,
,Leiloador,https://www.leiloador.com.br,,,
,Alexandre Costa Leilões,https://www.alexandrecostaleiloes.com.br,,,
,Ana Lúcia Leiloeira,https://www.analucialeiloeira.com.br,,,
,Andréa Leiloeira,https://www.andrealeiloeira.lel.br,,,
,Brites Leiloeiro,https://www.britesleiloeiro.com.br,,,
,BSP Leilões,https://www.bspleiloes.com.br,,,
,Frederico Leilões,https://www.fredericoleiloes.com.br,,,
,JJ Leiloeiro,https://www.jjleiloeiro.com.br,,,
,Silvani Leiloeira,https://www.leiloeirasilvani.com.br,,,
,Legentil Leiloeiro,https://www.leiloeirolegentil.com.br,,,
,Mario Ricart,https://www.marioricart.lel.br,,,
,MK Lance,https://www.mklance.com.br,,,
,Octavio Vianna,https://www.octaviovianna.lel.br,,,
,Onildo Bastos,https://www.onildobastos.com.br,,,
,Ricardo Correa Leilões,https://www.ricardocorrealeiloes.com.br,,,
,Silas Leiloeiro,https://www.silasleiloeiro.lel.br,,,
,Tostes Leiloeiro,https://www.tostesleiloeiro.com.br,,,
,Mercado Bomvalor,https://mercado.bomvalor.com.br/,,,
,Abrantes Leilões,https://www.abrantesleiloes.com,,,
,All Leilões,https://www.alleiloes.com.br,,,
,Arremata Bem,https://www.arrematabem.com.br,,,
,Bringel Leilões,https://www.bringelleiloes.com.br,,,
,Gelson Leilões,https://www.gelsonleiloes.com.br,,,
,KS Leilões,https://www.ksleiloes.com.br,,,
,Lance Justo,https://www.lancejusto.com.br,,,
,Maria Clarice Leilões,https://www.mariaclariceleiloes.com.br,,,
,Newton Leilões,https://www.newtonleiloes.com.br,,,
,O Leilões,https://www.oleiloes.com.br,,,
,RD Leilões,https://www.rdleiloes.com.br,,,
,Spencer Leilões,https://www.spencerleiloes.com.br,,,
,Vasconcelos Leilões,https://www.vasconcelosleiloes.com.br,,,
,VM Leilões,https://www.vmleiloes.com.br,,,
,Central Judicial,https://www.centraljudicial.com.br,,,
,Extrajust Leilões,https://www.extrajustleiloes.com.br,,,
,Granado Leilões,https://www.granadoleiloes.com.br,,,
,Horizonte Leilões,https://www.horizonteleiloes.com.br,,,
,Lance no Leilão,https://www.lancenoleilao.com.br,,,
,Lance Total,https://www.lancetotal.com.br,,,
,S Frazão,https://www.sfrazao.com.br,,,
,W Leilões,https://www.wleiloes.com.br,,,
,Battaglia Leiloeiro,https://www.battaglialeiloeiro.com.br,,,
,Eduardo Sorgi Leiloeiro,https://www.eduardosorgileiloeiro.com.br,,,
,Gustavo Moretto Leiloeiro,https://www.gustavomorettoleiloeiro.com.br,,,
,José Quenca Leiloeiro,https://www.josequencaleiloeiro.com.br,,,
,Pedro Oliveira Leiloeiro,https://www.pedrooliveiraleiloeiro.com.br,,,
,Sumaré Leilões,https://www.sumareleiloes.com.br,,,
,Willian Quenca Leiloeiro,https://www.willianquencaleiloeiro.com.br,,,
,Luiz Leilões,https://www.luizleiloes.com.br,,,
,PB Castro,https://www.pbcastro.com.br,,,
,RMM Leilões,https://www.rmmleiloes.com.br,,,
,Nakakogue Leilões,https://www.nakakogueleiloes.com.br,,,
,PSN Leilões,https://www.psnleiloes.com.br,,,
,Casa de Leilões,https://www.casadeleiloes.com.br,,,
,Euro Leilões,https://www.euroleiloes.com.br,,,
,HC Leilões,https://www.hcleiloes.com.br,,,
,Leilões Online MS,https://www.leiloesonlinems.com.br,,,
,Regina Aude Leilões,https://www.reginaaudeleiloes.com.br,,,
,Via Leilões,https://www.vialeiloes.com.br,,,
,André Araújo Leilões,https://www.andrearaujoleiloes.com.br,,,
,Baston Leilões,https://www.bastonleiloes.com.br,,,
,Cesar Brito Leilões,https://www.cesarbritoleiloes.com.br,,,
,Custódio Leilões,https://www.custodioleiloes.leilao.br,,,
,Maria Vitorino Leiloeira,https://www.mariavitorinoleiloeira.com.br,,,
,Hasta Pública,https://www.hastapublica.com.br,,,
,Lance Now,https://www.lancenow.com.br,,,
,Silvia Barros,https://www.silviabarros.com.br,,,
,Valland,https://www.valland.com.br,,,
,M7 Leilões,https://www.m7leiloes.com,,,
,Molgado,https://www.molgado.com.br,,,
,Dalcanale Leilões,https://www.dalcanaleleiloes.com.br,,,
,LB Leilões,https://www.lbleiloes.com.br,,,
,SF Leilões,https://www.sfleiloes.com.br,,,
,Mega Leilões,https://www.megaleiloes.com.br,,,
,Mega Leilões MS,https://www.megaleiloesms.com.br,,,
,DF Leilões,https://www.dfleiloes.com.br,,,
,IPC Leilões,https://www.ipcleiloes.com.br,,,
,Curiau Leilões,https://www.curiauleiloes.com.br,,,
,ML Leilões,https://www.mlleiloes.com.br,,,
,Brasília Leilões,https://www.brasilialeiloes.com.br,,,
,Hatory Leilões,https://www.hatoryleiloes.com.br,,,
,Leilões Uberlândia,https://www.leiloesuberlandia.com.br,,,
,Grupo Lance,https://www.grupolance.com.br,,,
,Miranda Carvalho Leilões,https://www.mirandacarvalholeiloes.com.br,,,
,Fórmula Leilões,https://www.formulaleiloes.com.br,,,
,Leia Leilões,https://www.leialeiloes.com.br,,,
,Portal do Leiloeiro,https://www.portaldoleiloeiro.com.br,,,
,Sabrina Leilões,https://www.sabrinaleiloes.com.br,,,
,Desanti Leilões,https://www.desantileiloes.com.br,,,
,Djanir Leilões,https://www.darosleiloes.com.br/,,,
,Inova Leilão,https://www.inovaleilao.com.br,,,
,Alliance Leilões,https://www.allianceleiloes.com.br,,,
,Mauro Marcello,https://www.mauromarcello.lel.br,,,
,Cassiano Leilões,https://www.cassianoleiloes.com.br,,,
,Gustavo Leiloeiro,https://www.gustavoleiloeiro.lel.br,,,
