grupo,nome,dominio,url_base,crawl_urls,include_paths
Plataforma LEL.BR,Pietoso Leilões,https://www.pietosoleiloes.lel.br,https://www.pietosoleiloes.lel.br,https://www.pietosoleiloes.lel.br|https://www.pietosoleiloes.lel.br/leiloes|https://www.pietosoleiloes.lel.br/leiloes/abertos|https://www.pietosoleiloes.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Kronberg,https://www.kronberg.lel.br,https://www.kronberg.lel.br,https://www.kronberg.lel.br|https://www.kronberg.lel.br/leiloes|https://www.kronberg.lel.br/leiloes/abertos|https://www.kronberg.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Bertoncello,https://www.bertoncello.lel.br,https://www.bertoncello.lel.br,https://www.bertoncello.lel.br|https://www.bertoncello.lel.br/leiloes|https://www.bertoncello.lel.br/leiloes/abertos|https://www.bertoncello.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Q Leilão,https://www.qleilao.lel.br,https://www.qleilao.lel.br,https://www.qleilao.lel.br|https://www.qleilao.lel.br/leiloes|https://www.qleilao.lel.br/leiloes/abertos|https://www.qleilao.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Barcellos Leilões,https://www.barcellos.lel.br,https://www.barcellos.lel.br,https://www.barcellos.lel.br|https://www.barcellos.lel.br/leiloes|https://www.barcellos.lel.br/leiloes/abertos|https://www.barcellos.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,SA Leilões,https://www.saleiloes.lel.br,https://www.saleiloes.lel.br,https://www.saleiloes.lel.br|https://www.saleiloes.lel.br/leiloes|https://www.saleiloes.lel.br/leiloes/abertos|https://www.saleiloes.lel.br/leiloes/proximos,/lote/|/lotes/
Portal Zuk,Portal Zuk,https://www.portalzuk.com.br,https://www.portalzuk.com.br,https://www.portalzuk.com.br|https://www.portalzuk.com.br/imoveis|https://www.portalzuk.com.br/veiculos|https://www.portalzuk.com.br/bens,/imovel/|/veiculo/|/bem/
Sites Próprios,3 Torres Leilões,https://www.3torresleiloes.com.br,https://www.3torresleiloes.com.br,https://www.3torresleiloes.com.br|https://www.3torresleiloes.com.br/leiloes|https://www.3torresleiloes.com.br/leilao|https://www.3torresleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Agência Leilões,https://www.agencialeilao.com.br,https://www.agencialeilao.com.br,https://www.agencialeilao.com.br|https://www.agencialeilao.com.br/leiloes|https://www.agencialeilao.com.br/leilao|https://www.agencialeilao.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Agil Leilões,https://www.agilleiloes.com.br,https://www.agilleiloes.com.br,https://www.agilleiloes.com.br|https://www.agilleiloes.com.br/leiloes|https://www.agilleiloes.com.br/leilao|https://www.agilleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Agostinho Leilões,https://www.agostinholeiloes.com.br,https://www.agostinholeiloes.com.br,https://www.agostinholeiloes.com.br|https://www.agostinholeiloes.com.br/leiloes|https://www.agostinholeiloes.com.br/leilao|https://www.agostinholeiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Alemão Leilões,https://www.alemaoleiloeiro.com.br,https://www.alemaoleiloeiro.com.br,https://www.alemaoleiloeiro.com.br|https://www.alemaoleiloeiro.com.br/leiloes|https://www.alemaoleiloeiro.com.br/leilao|https://www.alemaoleiloeiro.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Alexandre Pedrosa Leiloeiro,https://www.alexandrepedrosaleiloeiro.com.br,https://www.alexandrepedrosaleiloeiro.com.br,https://www.alexandrepedrosaleiloeiro.com.br|https://www.alexandrepedrosaleiloeiro.com.br/leiloes|https://www.alexandrepedrosaleiloeiro.com.br/leilao|https://www.alexandrepedrosaleiloeiro.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Alves Leilões,https://www.alvesleiloes.com.br,https://www.alvesleiloes.com.br,https://www.alvesleiloes.com.br|https://www.alvesleiloes.com.br/leiloes|https://www.alvesleiloes.com.br/leilao|https://www.alvesleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Amanda Tomazelli Leiloeira,https://www.atomazellileiloeira.com.br,https://www.atomazellileiloeira.com.br,https://www.atomazellileiloeira.com.br|https://www.atomazellileiloeira.com.br/leiloes|https://www.atomazellileiloeira.com.br/leilao|https://www.atomazellileiloeira.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Amaral Leilões,https://www.amaralleiloes.com.br,https://www.amaralleiloes.com.br,https://www.amaralleiloes.com.br|https://www.amaralleiloes.com.br/leiloes|https://www.amaralleiloes.com.br/leilao|https://www.amaralleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Andrade Leilões,https://www.andradeleiloes.com.br,https://www.andradeleiloes.com.br,https://www.andradeleiloes.com.br|https://www.andradeleiloes.com.br/leiloes|https://www.andradeleiloes.com.br/leilao|https://www.andradeleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Apice Leilões,https://www.apiceleiloes.com.br,https://www.apiceleiloes.com.br,https://www.apiceleiloes.com.br|https://www.apiceleiloes.com.br/leiloes|https://www.apiceleiloes.com.br/leilao|https://www.apiceleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Aragão Leilões,https://www.aragaoleiloes.com.br,https://www.aragaoleiloes.com.br,https://www.aragaoleiloes.com.br|https://www.aragaoleiloes.com.br/leiloes|https://www.aragaoleiloes.com.br/leilao|https://www.aragaoleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,ARG Leilões,https://www.argleiloes.com.br,https://www.argleiloes.com.br,https://www.argleiloes.com.br|https://www.argleiloes.com.br/leiloes|https://www.argleiloes.com.br/leilao|https://www.argleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Assunção Leilões,https://www.assuncaoleiloes.com.br,https://www.assuncaoleiloes.com.br,https://www.assuncaoleiloes.com.br|https://www.assuncaoleiloes.com.br/leiloes|https://www.assuncaoleiloes.com.br/leilao|https://www.assuncaoleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Back Leilões,https://www.backleiloes.com.br,https://www.backleiloes.com.br,https://www.backleiloes.com.br|https://www.backleiloes.com.br/leiloes|https://www.backleiloes.com.br/leilao|https://www.backleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Benozzati,https://www.benozzati.com.br,https://www.benozzati.com.br,https://www.benozzati.com.br|https://www.benozzati.com.br/leiloes|https://www.benozzati.com.br/leilao|https://www.benozzati.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Best Leilões,https://www.bestleiloes.com.br,https://www.bestleiloes.com.br,https://www.bestleiloes.com.br|https://www.bestleiloes.com.br/leiloes|https://www.bestleiloes.com.br/leilao|https://www.bestleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,BidMax,https://www.bidmax.com.br,https://www.bidmax.com.br,https://www.bidmax.com.br|https://www.bidmax.com.br/leiloes|https://www.bidmax.com.br/leilao|https://www.bidmax.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Brasil Sul Leilões,https://www.brasilsulleiloes.com.br,https://www.brasilsulleiloes.com.br,https://www.brasilsulleiloes.com.br|https://www.brasilsulleiloes.com.br/leiloes|https://www.brasilsulleiloes.com.br/leilao|https://www.brasilsulleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Bronzatto Leilões,https://www.bronzattoleiloes.com.br,https://www.bronzattoleiloes.com.br,https://www.bronzattoleiloes.com.br|https://www.bronzattoleiloes.com.br/leiloes|https://www.bronzattoleiloes.com.br/leilao|https://www.bronzattoleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Bruno Niewinski Leilões,https://www.brunoniewinskileiloes.com.br,https://www.brunoniewinskileiloes.com.br,https://www.brunoniewinskileiloes.com.br|https://www.brunoniewinskileiloes.com.br/leiloes|https://www.brunoniewinskileiloes.com.br/leilao|https://www.brunoniewinskileiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Cardoso Leilões,https://www.cardosoleiloes.com.br,https://www.cardosoleiloes.com.br,https://www.cardosoleiloes.com.br|https://www.cardosoleiloes.com.br/leiloes|https://www.cardosoleiloes.com.br/leilao|https://www.cardosoleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Cargnelutti Leilões,https://www.cargneluttileiloes.com.br,https://www.cargneluttileiloes.com.br,https://www.cargneluttileiloes.com.br|https://www.cargneluttileiloes.com.br/leiloes|https://www.cargneluttileiloes.com.br/leilao|https://www.cargneluttileiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,CCJ Leilões,https://www.ccjleiloes.com.br,https://www.ccjleiloes.com.br,https://www.ccjleiloes.com.br|https://www.ccjleiloes.com.br/leiloes|https://www.ccjleiloes.com.br/leilao|https://www.ccjleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Cencin,https://www.cencin.com.br,https://www.cencin.com.br,https://www.cencin.com.br|https://www.cencin.com.br/leiloes|https://www.cencin.com.br/leilao|https://www.cencin.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Central dos Leilões,https://www.centraldosleiloes.com.br,https://www.centraldosleiloes.com.br,https://www.centraldosleiloes.com.br|https://www.centraldosleiloes.com.br/leiloes|https://www.centraldosleiloes.com.br/leilao|https://www.centraldosleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Clic Leilões,https://www.clicleiloes.com.br,https://www.clicleiloes.com.br,https://www.clicleiloes.com.br|https://www.clicleiloes.com.br/leiloes|https://www.clicleiloes.com.br/leilao|https://www.clicleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Colodete Leilões,https://www.colodeteleiloes.com.br,https://www.colodeteleiloes.com.br,https://www.colodeteleiloes.com.br|https://www.colodeteleiloes.com.br/leiloes|https://www.colodeteleiloes.com.br/leilao|https://www.colodeteleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Conceito Leilões,https://www.conceitoleiloes.com.br,https://www.conceitoleiloes.com.br,https://www.conceitoleiloes.com.br|https://www.conceitoleiloes.com.br/leiloes|https://www.conceitoleiloes.com.br/leilao|https://www.conceitoleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
Sites Próprios,Construbem Leilões,https://www.construbemleiloes.com.br,https://www.construbemleiloes.com.br,https://www.construbemleiloes.com.br|https://www.construbemleiloes.com.br/leiloes|https://www.construbemleiloes.com.br/leilao|https://www.construbemleiloes.com.br/catalogo,/lote/|/lotes/|/item/|/produto/|/bem/|/imovel/|/imoveis/|/veiculo/|/veiculos/|/detalhe/
